Week Return On;KO US Equity;FLR US Equity;GE US Equity;AMZN US Equity;WMT US Equity
22/01/2016;0,013493976;0,022407628;-0,008778176;0,045950402;0,01227192
29/01/2016;0,020446981;0,046630916;0,030454179;-0,015728227;0,058542032
5/02/2016;-0,011183597;-0,001113834;-0,019243969;-0,144582624;0,009644364
12/02/2016;0,015786993;-0,02676182;-0,00980896;0,009858005;-0,012238806
19/02/2016;0,015309673;0,039871677;0,02689122;0,054863138;-0,022967664
26/02/2016;-0,01439342;0,031511679;0,013095302;0,038007104;0,028611197
4/03/2016;0,022484933;0,050416578;0,036053473;0,035859013;0,00405954
11/03/2016;0,02471095;0,04575961;-0,003937882;-0,00961505;0,005840072
18/03/2016;0,008849558;0,073706729;0,019115771;-0,030775443;-0,003275272
25/03/2016;-0,000438596;-0,0197428;0,006143618;0,055915809;0,015683346
1/04/2016;0,027424309;-0,011271249;0,026360581;0,026674672;0,015588235
8/04/2016;0,000854153;-0,041861334;-0,035705442;-0,006516291;-0,014480162
15/04/2016;-0,016428419;0,026136142;0,007794735;0,052623613;0,014692918
22/04/2016;-0,033839479;0,031743015;-0,008699996;-0,008611737;-0,004923255
29/04/2016;0,005837449;0,007000737;-0,000324674;0,062997583;-0,026920838
6/05/2016;0,011607143;-0,052506403;-0,020488184;0,0217711;0,020637057
13/05/2016;0,000661959;-0,033790307;-0,015936227;0,053371912;-0,048498168
20/05/2016;-0,030871003;-0,001398881;-0,002699051;-0,010029299;0,075762242
27/05/2016;0,018885097;0,0548329;0,018944486;0,013431986;0,012739765
3/06/2016;0,005806163;-0,00569152;-0,005975222;0,018673481;0,001696113
10/06/2016;0,021092362;-0,005724098;0,003339136;-0,010516305;0,003809793
17/06/2016;-0,026092629;-0,023220111;0,018641779;-0,01604658;-0,00267079
24/06/2016;-0,019200714;-0,041650295;-0,025491003;-0,010518269;0,014235377
1/07/2016;0,02708855;0,009430094;0,05600307;0,038228225;0,011812118
8/07/2016;0,005762411;0,047319253;0,022547225;0,0277395;0,014146408
15/07/2016;0,005509035;0,028504945;0,021116363;-0,013904346;-0,002302275
22/07/2016;0,004383081;-0,009426848;-0,024938382;0,012808659;-0,001628886
29/07/2016;-0,048003491;0,018652455;-0,028694549;0,018728352;-0,007885792
5/08/2016;-0,003438001;-0,029521674;0,004493308;0,009449006;0,010826367
12/08/2016;0,012649494;-0,010204082;-0,001277109;0,008590303;0,001762473
19/08/2016;-0,002498297;0,022174674;0,000319686;-0,019739567;-0,014616322
26/08/2016;-0,013661202;0,007421503;-0,000639167;0,015436215;-0,02293641
2/09/2016;0,007848569;-0,015111447;0,001922058;0,004473342;0,019117234
9/09/2016;-0,031836922;-0,052550825;-0,03771245;-0,015923567;-0,030344828
16/09/2016;-0,003075467;-0,015789474;-0,014283098;0,024179756;0,03655761
23/09/2016;0,014238253;0,011517894;0,007076786;0,034976622;-0,007135996
30/09/2016;-0,00982686;0,043513623;-0,009031804;0,039168477;-0,003178991
7/10/2016;-0,013941399;-0,012665627;-0,018231755;0,002531918;-0,047420965
14/10/2016;-0,001437815;-0,025064141;-0,006532347;-0,019620457;-0,00363901
21/10/2016;0,011039117;0,00242915;0,003114805;-0,00482405;-0,001607012
28/10/2016;0,002373606;0,0523021;0,008281551;-0,052100758;0,024143986
4/11/2016;-0,012787118;-0,140280177;-0,026694864;-0,027398495;-0,011858837
11/11/2016;-0,015831135;0,096651786;0,079815641;-0,021243626;0,029930596
18/11/2016;-0,002924689;0,044982699;-0,001300813;0,028619369;-0,037764987
25/11/2016;0,015155219;0,067783405;0,025103794;0,026586508;0,039247155
2/12/2016;-0,028172405;-0,025173294;-0,003179834;-0,05129618;-0,00491366
9/12/2016;0,040634291;0,069236527;0,014041214;0,038252695;-0,011286682
16/12/2016;-0,006190476;-0,037976899;-0,000946034;-0,014167512;0,012842466
23/12/2016;-0,003354097;-0,026559942;0,004095715;0,003721446;-0,020287405
30/12/2016;-0,003365385;-0,018501215;-0,008784553;-0,014094322;-0,006039689
6/01/2017;0,006753497;0,013328256;0,000319336;0,061503994;-0,01244213
13/01/2017;-0,020603737;0,018789929;-0,007911747;0,026570686;-0,016554351
20/01/2017;0,010763209;-0,026374032;-0,026465593;-0,010781506;0,000744823
